Model,MAE,MSE,MAPE (%)
LSTM,0.8835194767385296,0.8470858224874234,183.50307244900736
ARIMA,0.035792479811915356,0.002046468048953103,7.37834075568375
SARIMA,0.03430693219978303,0.0019814122318899314,7.014430675747551
Random Forest,0.6766123188405738,0.5885888232514088,141.6299769309625
XGBoost,0.6396294967203907,0.488260843759391,134.78442523819868
Prophet,0.034849440200892576,0.0020166020716435064,7.114029352618253
