Model,MAE (No Weather),MSE (No Weather),MAPE (No Weather),MAE (With Weather),MSE (With Weather),MAPE (With Weather)
ARIMA,0.05141500522796126,0.005836421549918639,11.674584916262136,0.05141500522796126,0.005836421549918639,11.674584916262136
SARIMA,0.047794680038317855,0.005584297945045895,11.251559541508799,0.047794680038317855,0.005584297945045895,11.251559541508799
XGBoost,0.04932681334384306,0.005380025368158735,11.613227233559705,0.05051272733721167,0.005464271144046266,11.836901355452058
RandomForest,0.04936102224969256,0.005383342602721752,11.624847645593793,0.057043561620573405,0.006436962403975346,13.332817980229434
