Model,MAE,MSE,MAPE (%)
LSTM,0.7290529638960748,0.5789809428477035,156.45970377576813
ARIMA,0.03806350600466698,0.001949784151236908,7.85865336309401
SARIMA,0.029068601085728767,0.0012287365486208443,6.367345410181295
Random Forest,0.656050724637681,0.5396066950220529,138.99361376927163
XGBoost,0.6201340814215556,0.4520348976982673,132.07889100062673
Prophet,0.029806879107937514,0.0012133869929463173,6.510723553811512
